del,id,tweet,subtask_a,subtask_b,subtask_c,cleaned_tweet
863,45523,@USER So will this all be hidden like the liberals hid everyrhing about the failed Nipigon bridge?!?! Huh? Our money and we are barred from the truth sickens me. They are communists,NOT,,,hidden like liberals hid everyrhing failed nipigon bridge huh money barred truth sickens communists
864,87127,@USER Congratulations #POTUS #MAGA,NOT,,,congratulations
865,92949,Too bad life sucks 4 u #schiff4brains 😂 ur going down along wi ur other CRIMINAL friends. Only red line crossed is the LIES U TELL. U will never b anything more than the belly of a SNAKE #MAGA #TRUMP2020 #schiff4brains URL,OFF,TIN,IND,bad life sucks going along criminal friends red line crossed lies tell never anything belly snake url
866,20729,"@USER @USER Let's focus on Kavanaugh. Bringing up other cases to make an argument about hypocrisy is irrelevant. It's like saying, Let's not investigate this bank robbery because liberals have robbed other banks."" Try to focus.""",OFF,TIN,GRP,let focus kavanaugh bringing cases make argument hypocrisy irrelevant like saying let investigate bank robbery liberals robbed banks try focus
867,89421,@USER @USER @USER @USER @USER She is going to be heartbroken to see you and you 6 followers go. Bot bot bot.,NOT,,,going heartbroken see followers bot bot bot
868,29695,#prouduncle 😍 she is the finest cheerleader of them all💙 te amo stinky butt💝 URL,OFF,TIN,IND,finest cheerleader amo stinky butt url
869,71736,@USER @USER She is done out here.,NOT,,,done
870,36051,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Thank you for your support,NOT,,,thank support
871,14179,@USER @USER what is this shit right over here? I also showed to my polish friends and they are quite triggered,OFF,TIN,OTH,shit right also showed polish friends quite triggered
872,63061,@USER Remember Tina. You can always sleep when you are dead! URL,NOT,,,remember tina always sleep dead url
873,51408,@USER @USER PURP HE IS CHRIS.... IM THE REAL CJ UNTIL FURTHER NOTICE 😂 #PSA,NOT,,,purp chris real notice
874,48736,@USER PLELLEEAAAASEEEEE I LITERALLY SOBBED SO HARD AT THIS SCREEN WHO DOES HE THINK HE IS LOOKING SO BEAUTIFUL WHILE HE SLEEEEEEEPS,NOT,,,plelleeaaaseee literally sobbed hard screen think looking beautiful sleeeps
875,51768,@USER @USER can you please tell jimin even if he knows just how amazing he is and that he actually saved my life no joke we're really thankful and please be safe and healthy i pray for you every single day and minute  to be protected and safe 💜Thank you @USER,NOT,,,please tell jimin even knows amazing actually saved life joke really thankful please safe healthy pray every single day minute protected safe thank
876,74078,@USER Its @USER fault..she is cheat,NOT,,,fault cheat
877,65529,@USER Hold up this for real? Am I reading that right? Everything is free?,NOT,,,hold real reading right everything free
878,51118,@USER @USER @USER Oh and higher unemployment and witch hunts and lynch mobs and antifa communist parades ...you can have all that shit and let Hollywood decide how you feel.,OFF,TIN,OTH,higher unemployment witch hunts lynch mobs antifa communist parades shit let hollywood decide feel
879,12264,@USER @USER @USER wow @USER are these the types of folks we want teaching the already confused millennials?,NOT,,,wow types folks want teaching already confused millennials
880,34675,@USER I think he is hurt,NOT,,,think hurt
881,12803,@USER Awesome Job Mr. President Trump!!  MAGA,NOT,,,awesome job president trump maga
882,59703,@USER EVERYTHING is an issue with Muslims..go live in another country like Iran..,OFF,TIN,GRP,everything issue muslims live another country like iran
883,73118,@USER @USER @USER @USER @USER I did not admit anything! Read my Tweet again please! English is my 3rd language but I am rather good at it! Antifa are the Nazis! They can name them self the Messiah they would still be thugs fighting against freedom and free speach! BTW free speach is not hate speach. Man up!,OFF,TIN,GRP,admit anything read tweet please english 3rd language rather good antifa nazis name self messiah would still thugs fighting freedom free speach btw free speach hate speach man
884,92323,@USER @USER Yeah we need gun laws like Europe so it's really hard for bad people to get guns.  URL  You people are clueless about guns,NOT,,,yeah need gun laws like europe really hard bad people get guns url people clueless guns
885,26447,@USER Holder was held in contempt of congress. Why isn't in prison for Fast and Furious? How about for murder?,OFF,TIN,IND,holder held contempt congress prison fast furious murder
886,66845,@USER EXPOSE these demons violating our Constitution with violence &amp; threats to run govt instead of winning at the polls! Name them domestic terrorists &amp; jail them all.,OFF,TIN,GRP,expose demons violating constitution violence threats run govt instead winning polls name domestic terrorists jail
887,78996,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Now do Black Lives Matter. And Antifa.,NOT,,,black lives matter antifa
888,61664,@USER @USER Kavanaugh was on the short list over a year ago. If liberals think this is a good idea just imagine how many people in the future with zero evidence 30+ yrs later including where and year can accuse people then ruin their lives including these liberals and politicians.,NOT,,,kavanaugh short list year ago liberals think good idea imagine many people future zero evidence yrs later including year accuse people ruin lives including liberals politicians
889,57245,@USER Here’s @USER helping improve how women are to be watched in sports. 🙄 URL,NOT,,,helping improve women watched sports url
890,29880,@USER 😅😅😅😅😅😅😅😅😅 gun control fun a statue of a stupid child under a desk are going to change peoples if that is the case they are stupid because i for will not give up my firearms or free speech or my rights to no one or no government! Fuck you!,OFF,TIN,IND,gun control fun statue stupid child desk going change peoples case stupid give firearms free speech rights one government fuck
891,85882,@USER @USER @USER Republicans platform   -take away healthcare -harm the environment  -take away children -take away women’s rights -do not believe in rule of law -voter suppression  -gerrymandering  -take away social security  -no limits to gun control -explodes the budget  #VoteBlue2018,OFF,TIN,OTH,republicans platform take away healthcare harm environment take away children take away women rights believe rule law voter suppression gerrymandering take away social security limits gun control explodes budget
892,81239,@USER @USER Then maybe we can talk about the double standards between liberals and conservatives at @USER Somebody is always a victim.,OFF,TIN,GRP,maybe talk double standards liberals conservatives somebody always victim
893,99454,@USER She is so beautiful but looks like dad,NOT,,,beautiful looks like dad
894,66048,#QAnon @USER #MAGA   For those who think nothing is happening! URL,OFF,TIN,IND,think nothing happening url
895,98294,Rosenstein’s 300 Attorneys ‘Helped’ Vet Kavanaugh – Now Sexual Abuse Charges URL which go back to his highschool days  and can't be proven &amp; Named witness DENIES  #Pathetic #ConfirmKavanaugh #PJNET #CCOT #maga #KAG2018 #Trump2020 #NoMoreProgressiveLiberals,OFF,TIN,GRP,rosenstein 300 attorneys ‘ helped vet kavanaugh sexual abuse charges url back highschool days proven named witness denies
896,77789,#sorrynotsorry   If you breastfeed your child who ends up having a milk allergy and so you just SWITCH to formula are you really putting your 100% into parenting?! No you are being lazy! Change your diet go lactose and soy free so your baby can have the best of the best.,NOT,,,breastfeed child ends milk allergy switch formula really putting 100 parenting lazy change diet lactose soy free baby best best
897,65560,@USER Sorry to read this. You’re doing the right thing to report it and warn us all about them. Needless to say you are none of the things they say. Stay strong.,NOT,,,sorry read right thing report warn needless say none things say stay strong
898,19380,"@USER @USER It is not a crisis"" . The Conservatives think everything is a crisis- the asylum seekers,  the economy, TMX  now NAFTA. Just relax guys the adults are in the room.""",NOT,,,crisis conservatives think everything crisis asylum seekers economy tmx nafta relax guys adults room
899,98740,@USER Has any ex Obama administration personal not yet?  See a pattern here folks!  Their actually doing this publicly. The msm is their partner in this treason.  It’s a attempted coup d'etat!!!,OFF,UNT,,obama administration personal yet see pattern folks actually publicly msm partner treason attempted coup etat
900,79813,@USER Thanks for keeping us in your thought and being so kind to fans🌸❤️. Just know this cool cat is gonna drag many great thing into our fans life!,NOT,,,thanks keeping thought kind fans ❤ ️ know cool cat gonna drag many great thing fans life
901,30337,@USER Fuck u,OFF,TIN,IND,fuck
902,65495,"... She is our north star, amongst the many stars that pass away to fill the night sky with brilliancy."" I cannot begin 2 imagine this as a parent but am so grateful &amp; humbled for the time however brief w/ so many shining stars who continue to guide all of us... URL",NOT,,,north star amongst many stars pass away fill night sky brilliancy cannot begin imagine parent grateful humbled time however brief many shining stars continue guide url
903,41605,@USER Remember:  You're talking about the same media that never questions the assertions that everyone on the Right is a Nazi and Antifa is just a group of protesters.,NOT,,,remember talking media never questions assertions everyone right nazi antifa group protesters
904,79120,@USER Yep this is the world the liberals want to live in.,NOT,,,yep world liberals want live
905,92999,AAA DIBALES DONG😘😘😘 URL,NOT,,,aaa dibales dong url
906,67391,@USER Niggaz buying pussy bitches trying to buy love...,OFF,TIN,GRP,niggaz buying pussy bitches trying buy love
907,12038,@USER @USER I don't think he's guilty....this is what you leftwingers do...make up sexual assault claims about conservatives.,NOT,,,think guilty leftwingers make sexual assault claims conservatives
908,58241,@USER Yeah dangerous to question a scattered 35 year old account pushed on the eve of a nomination with the liberals saying they will stop at nothing to derail judge Kavanagh or any of Trumps picks? Delete your account...,NOT,,,yeah dangerous question scattered year old account pushed eve nomination liberals saying stop nothing derail judge kavanagh trumps picks delete account
909,21369,#TBT That time when @USER gave us a shout-out on their blog &amp; we felt like the coolest kids in town. 😎 From #NCDD.org blog: Creating a Welcoming Environment with #Conservatives with The Village Square - #ReviveCivility #ToTheVillageSquare URL,NOT,,,time gave shout blog felt like coolest kids town org blog creating welcoming environment village square url
910,91579,@USER #Rimmy4Antifa @USER Can this young working class proletarian join your cause URL,NOT,,,young working class proletarian join cause url
911,48534,@USER @USER I'm also a Prohibited Possessor thanks to Obama and his every soldier has  PTSD crazy administration.Can't get life insurance either.Still support the NRA and the work they do for gun rights.Hoping Trump will fix the wrongs of labeling veterans as a means to back-door gun control,OFF,TIN,IND,also prohibited possessor thanks obama every soldier ptsd crazy administration get life insurance either still support nra work gun rights hoping trump fix wrongs labeling veterans means back door gun control
912,22086,@USER Does not suffer fools and has seen enough shit to last nine lives.,OFF,TIN,OTH,suffer fools seen enough shit last nine lives
913,26472,@USER He is the eggman.,NOT,,,eggman
914,56844,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER  Sorry my love I know you will be disappointed maybe I'll stand in my next life time ❤,NOT,,,sorry love know disappointed maybe stand next life time ❤
915,57050,@USER Awww his poor pocket. Try something else,NOT,,,awww poor pocket try something else
916,86879,"@USER GOP, Conservatives, Evangelicals, Traditionalists"" Catholics are all hypocrites.""",OFF,TIN,OTH,gop conservatives evangelicals traditionalists catholics hypocrites
917,80462,@USER @USER LMAO....YOU SUCK NFL,OFF,TIN,OTH,lmao suck nfl
918,55281,"@USER @USER @USER Well, they'll cut out 299 pages and replace it with 1 saying everyone needs more chlorine""  C'mon are you chicken?""",OFF,TIN,IND,well cut 299 pages replace saying everyone needs chlorine mon chicken
919,93035,@USER Believe the woman.  What person would volunteer for the shit show she is about to experience if it weren’t true.  I stand in solidarity with Christine Blasey Ford.,OFF,TIN,IND,believe woman person would volunteer shit show experience true stand solidarity christine blasey ford
920,66585,@USER All communist Democrat socialists are bad humans.,OFF,TIN,GRP,communist democrat socialists bad humans
921,38143,@USER Hmmm...they piss off the portion of the population that actually supported football and are shocked their numbers took a nose dive?  Shocking!,OFF,TIN,IND,hmmm piss portion population actually supported football shocked numbers took nose dive shocking
922,31945,*Gets Period* You are the cause of my 𝓭𝔂𝓼𝓹𝓱𝓸𝓻𝓲𝓪,OFF,TIN,IND,gets period cause
923,51513,@USER @USER Good grief. So this is how we calm antifa people?  Throw chicken nuggets at them?  How ridiculous are they?  I’d think it was funny if it wasn’t rewarding bad behavior.,NOT,,,good grief calm antifa people throw chicken nuggets ridiculous think funny rewarding bad behavior
924,76107,@USER @USER @USER Just because it isn't a sexy diagnosis doesn't mean it gets low quality care. You are making an incorrect assumption.,NOT,,,sexy diagnosis mean gets low quality care making incorrect assumption
925,39965,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Keep it going let’s all remember VOTE!!! VOTE RED!! Let’s do the #MAGA for our 🇺🇸🇺🇸. 📣Yaay!! #MAGA!! 🇺🇸🇺🇸🇺🇸🗽🗽🗽💥💥💥🔥🔥🔥🌪🌪🌪🌪🌪🌪🌪🌪,NOT,,,keep going let remember vote vote red let yaay
926,13100,@USER Antifa took over for them.,NOT,,,antifa took
927,91193,@USER @USER This is why Gun Control is such a horrible idea no matter what the reasoning it it results in this kind of thing.,NOT,,,gun control horrible idea matter reasoning results kind thing
928,66398,@USER Thus far the only people getting shot and kicked out of places are conservatives. #MAGA #WalkAway #ConfirmKavanaugh,OFF,TIN,GRP,thus far people getting shot kicked places conservatives
929,89774,@USER lol.. why don't they ever do it in the head to protest trump..  also aren't these people all for gun control?  tweet tweet.  URL,NOT,,,lol ever head protest trump also people gun control tweet tweet url
930,35786,@USER Yeah I'll not take my gun control policy advice from a Jean's company. Beyond that trumps die hard are almost enough that the snowflakes they claim to dislike and themselves are hard to tell a part,OFF,TIN,GRP,yeah take gun control policy advice jean company beyond trumps die hard almost enough snowflakes claim dislike hard tell part
931,40617,@USER @USER ⛏️ hmm.. closest emoji to a shovel go figure...,NOT,,,⛏ ️ hmm closest emoji shovel figure
932,17573,@USER @USER Let’s not discuss fault rn. If this happened he is 10000% to blame. Let’s first get reasonable amount of evidence before presuming he is guilty,NOT,,,let discuss fault happened 1000 blame let first get reasonable amount evidence presuming guilty
933,10845,@USER Donald Trump as President,NOT,,,donald trump president
934,69671,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER At least he is trying he is not busy tweeting hate tweets like u n your buddy aka Bishop Jonso!!,NOT,,,least trying busy tweeting hate tweets like buddy aka bishop jonso
935,13641,#YESonKavanaugh Yes because it is the right thing to do Yes because conservatives are in power Yes because Democrats are miserable humans Yes because we are sick and tired of the tantrums from the Democrats Yes because they FREAKING LOST THE ELECTION! Please add more reasons!!!!,OFF,TIN,GRP,yes right thing yes conservatives power yes democrats miserable humans yes sick tired tantrums democrats yes freaking lost election please add reasons
936,42447,@USER @USER Why because Ford accused him of something 36 years ago and won’t testify. Liberals he’d this for months and came out now. I think liberals are the ones who took a gamble,NOT,,,ford accused something years ago testify liberals months came think liberals ones took gamble
937,92257,#Manitoba - #NDP leader Wab Kinew on the #carbontax URL Are you proud of yourselves @USER and @USER You allow the NDP to come at you from the right? You're all as insane as the #Trudeau #Liberals #Winnipeg #Canada #MBpoli,OFF,TIN,OTH,leader wab kinew url proud allow ndp come right insane
938,43196,@USER Hello !! You used to date Anthony Weiner !!! What does that tell us about you ?,NOT,,,hello used date anthony weiner tell
939,28621,@USER &amp; sicking their attack dogs ( #antiFa / #resist ) and blaming the right.,NOT,,,sicking attack dogs blaming right
940,26317,"@USER HAHAHAHAHAHAHAHA!!! She may need to change her strategy. Acting like a spoiled child... throwing a tantrum and showing the world what a sore loser she is... on national television... isn't a great way to improve how anyone"" is viewed.""",OFF,TIN,IND,hahahahahahahaha may need change strategy acting like spoiled child throwing tantrum showing world sore loser national television great way improve anyone viewed
941,70481,@USER @USER @USER @USER @USER Oh it’s ok because 45 reversed the most important issue on mental health he got rid of the mental health conditions on gun control. Great job! What a guy! He is a liar proven over &amp; over again. But you worship away that’s your right,OFF,TIN,IND,reversed important issue mental health got rid mental health conditions gun control great job guy liar proven worship away right
942,37877,@USER People will get it regardless of the wall.   Kind like gun control argument.,NOT,,,people get regardless wall kind like gun control argument
943,33412,@USER You are hilarious and way too good to me.,NOT,,,hilarious way good
944,61942,@USER A quick way to get yourself killed.  Thanks Antifa!,OFF,TIN,IND,quick way get killed thanks antifa
945,99091,@USER Republicans are underestimating the fever of the liberals to get rid of Trump.,NOT,,,republicans underestimating fever liberals get rid trump
946,84660,this cant be legal ... Right? #KAG #MAGA URL,NOT,,,cant legal right url
947,27631,@USER WAPO what an idiot comment you are a disgrace to journalism VERY SAD,OFF,TIN,IND,wapo idiot comment disgrace journalism sad
948,51449,@USER @USER He is. We’ve been saying it for years. Uncle Christopher is Tristan while Aunt Carla is Bickle.,NOT,,,saying years uncle christopher tristan aunt carla bickle
949,40674,@USER That sucks 👎,OFF,TIN,IND,sucks
950,57610,@USER @USER Ik what other rappers think of him. But only cause he is anti-drug and honestly I think his music is good.,NOT,,,rappers think cause anti drug honestly think music good
951,24531,@USER Happy Birthday(s)!,NOT,,,happy birthday
952,82680,@USER Funny how liberals and liberal stars hate the folks that make them and give them the very fame and power which they can’t live without,NOT,,,funny liberals liberal stars hate folks make give fame power live without
953,78494,@USER Both sides have promised wall SINCE ever y should ANYONE BELIEVE ANYTHING THEY SAY????? ?promised since 1986,OFF,TIN,IND,sides promised wall since ever anyone believe anything say promised since 1986
954,21564,@USER @USER @USER @USER To be fair. I’m positive most liberals are just blobs of cells..,OFF,TIN,GRP,fair positive liberals blobs cells
955,32067,@USER You aren’t a member. Butt out,NOT,,,member butt
956,21265,@USER I don’t think jack knows too many conservatives. I’ve never met one that didn’t want to lecture me on how everything should be “run like a business” and we should all just work harder and follow the rules.,NOT,,,think jack knows many conservatives never met one want lecture everything run like business work harder follow rules
957,56419,@USER Then it’s time to indict trump if you are pro-law.,NOT,,,time indict trump pro law
958,35164,@USER @USER Target environment keeps getting richer.,NOT,,,target environment keeps getting richer
959,87824,@USER @USER She is such a disgusting hypocrite!,OFF,TIN,IND,disgusting hypocrite
960,32310,@USER @USER As well this would allow you to still protest. But not stop a speaker or a group. Really Hitler did this in the early time of the Nazi party a group known as the SS would beat up politicians and people that didn't agree with them. (Sounds familiar smells like Antifa.),OFF,TIN,GRP,well would allow still protest stop speaker group really hitler early time nazi party group known would beat politicians people agree sounds familiar smells like antifa
961,10698,@USER Don’t expect common sense from Liberals.,NOT,,,expect common sense liberals
962,23094,@USER Nobody cares what @USER thinks or wants. She wasn’t elected haha. And she’s not helping her party either so stay out there your only helping the conservatives Progressives DONT LIKE YOU,NOT,,,nobody cares thinks wants elected haha helping party either stay helping conservatives progressives dont like
963,70213,@USER I FUCKING love this!!!! so so true.  and actually it’s in those types of jobs you will learn the most,OFF,UNT,,fucking love true actually types jobs learn
964,36136,@USER Best not stray off message. We need to be using every death to blame guns and push for gun control. Talking about actual causes distracts from that. 🙉 #gunsense,NOT,,,best stray message need using every death blame guns push gun control talking actual causes distracts
965,61271,@USER @USER @USER @USER Huh! The pot grows as council grows...in this case it is a reduction...and that amount $25m is going right back to the city for police gun control...already announced!,NOT,,,huh pot grows council grows case reduction amount going right back city police gun control already announced
966,90618,@USER @USER #nope... With Mm no way...maybe is time to ask Sky what has gone wrong? Because #Foster from CNN have the book first than KP tweeted about the book...  Liberals... From Trump for Americans to Mm for British... I don't known who is worst,OFF,TIN,GRP,way maybe time ask sky gone wrong cnn book first tweeted book liberals trump americans british known worst
967,58120,@USER Oh my heart! She is beautiful. MUCH more beautiful than the immersion blender.,NOT,,,heart beautiful much beautiful immersion blender
968,15174,A new bill aims to send masked Antifa activists to jail for 15 years @USER URL,NOT,,,new bill aims send masked antifa activists jail years url
969,41958,@USER It’s so sad where we are in America now Liberals should be against this kind of McCarthyism  All u have to do us accuse Yet there was a Chinese spy in a dem office for 20 years n the media just shrugs,NOT,,,sad america liberals kind mccarthyism accuse yet chinese spy dem office years media shrugs
970,40368,President Trump is fighting for the American worker and American Jobs! #MAGA URL,NOT,,,president trump fighting american worker american jobs url
971,75263,@USER @USER It’s laughable that you parade China with its shocking human rights record. In China extreme Gun Control only meant death for millions of Chinese citizens at the hands of the state ... The History is well known.,NOT,,,laughable parade china shocking human rights record china extreme gun control meant death millions chinese citizens hands state history well known
972,94345,"@USER how does what I'm saying relate to gun control. if police departments will not prosecute their own family"" then it's time to limit their access to all weapons. A police department reluctant to acknowledge their own wrong doings and correct them dont deserve access to weapons.""",OFF,TIN,OTH,saying relate gun control police departments prosecute family time limit access weapons police department reluctant acknowledge wrong doings correct dont deserve access weapons
973,90077,@USER @USER Don’t ever stop lil ma *COUGH* “eddandflow” *COUGH* oh shit is that my Snapchat how’d that slip out?!  ...add me 🙏🏼😩,OFF,UNT,,ever stop lil cough eddandflow cough shit snapchat slip add
974,56898,@USER @USER Did Chuck think Juanita Broderick credible-Keith Ellison’s girlfriend domestic abuse credible? The truth is Chuck is a sh*t stirrer for a cause. In this case- ruin a mans impeccable career-embarrass his wife &amp; daughters-all in a sleazy days work. Y?Liberals destroy what dont like,NOT,,,chuck think juanita broderick credible keith ellison girlfriend domestic abuse credible truth chuck stirrer cause case ruin mans impeccable career embarrass wife daughters sleazy days work liberals destroy dont like
975,77180,@USER all you want is gun control while you let corporations rip us Americans off you don’t stand up against cops assassinating unarmed black Americans cops are enemies of Americans that’s why their against @USER because they want to kill blacks in America thanks @USER,OFF,TIN,GRP,want gun control let corporations rip americans stand cops assassinating unarmed black americans cops enemies americans want kill blacks america thanks
976,34565,1. Killshot 2. Gun control 3. Rap devil,NOT,,,killshot gun control rap devil
977,76105,@USER Hollywood’s finest.,NOT,,,hollywood finest
978,93281,"#MondayMotivation Liberals backing Kavanaugh Accuser"" high school episode to attack #SCOTUSpick - but praised #Adultery superstar #McCain - logic much? #MAGA #LiberalismIsAMentalDisorder URL",NOT,,,liberals backing kavanaugh accuser high school episode attack praised superstar logic much url
979,93028,@USER Epic fail,NOT,,,epic fail
980,20579,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Antifa would put nails in the pillows so I dont recommend it,NOT,,,antifa would put nails pillows dont recommend
981,36709,@USER I hope she stays safe and she is a brave soul. I'm on the coast of NC and will be staying put for now. I am scared but I can't leave without my hubs. He has to stay and man the prison he works for.,NOT,,,hope stays safe brave soul coast staying put scared leave without hubs stay man prison works
982,63408,A bitch is complaining to corporate about me in our lobby lmaooo,OFF,TIN,IND,bitch complaining corporate lobby lmaooo
983,99383,@USER I saw some shit today that made me want to @ her and politely ask her if I could be her stylist.... because I'm not here for these early 2000 bangle bracelets and unnecessary accessories like who's responsible? I have a few words. URL,OFF,TIN,IND,saw shit today made want @ politely ask could stylist early 2000 bangle bracelets unnecessary accessories like responsible words url
984,35359,@USER yyyy fuck no bitch we decided we both was gone steepppp,OFF,TIN,IND,yyy fuck bitch decided gone steeppp
985,32776,#Liberals grasp at unproven straws ... #NotPlastic URL,OFF,TIN,GRP,grasp unproven straws url
986,69948,"@USER @USER So @USER is a BJP leaning intellectual"" but so called liberals are not Congress leaning ""intellectual"" and you are definitely not Congress karyakarta....""",NOT,,,bjp leaning intellectual called liberals congress leaning intellectual definitely congress karyakarta
987,17348,@USER You said your complains for Fox News is nothing like Trump’s war against news media. You are right. Trump didn’t use “Espionage act of 1917” to spy reporters he doesn’t like. Yours is much worse and scary!!,NOT,,,said complains fox news nothing like trump war news media right trump use espionage act 1917 spy reporters like much worse scary
988,83724,@USER @USER So only people that own firearms are allowed to comment on the Gun Control Debate??!! 😁,NOT,,,people firearms allowed comment gun control debate
989,70434,@USER Funny Human Rights He is  Pro Abortion That settles it He lies pacified deceives Playboy,OFF,TIN,IND,funny human rights pro abortion settles lies pacified deceives playboy
990,47123,"#DEMOCRACY Civil Disobedience is Paramount"" #DumpFord #Dictatorship #CONservatives #Liars #Fascists #ONpoli #TOpoli It’s time for Ontario’s other municipalities to stand up for local democracy  URL via @USER",NOT,,,civil disobedience paramount time ontario municipalities stand local democracy url via
991,58915,@USER Christina would have been a better choice than Courtney . Hadwin has done this and is not as much of an amateur that she is making America believe,NOT,,,christina would better choice courtney hadwin done much amateur making america believe
992,51128,@USER @USER @USER @USER @USER @USER @USER is clearly racist and anti senior citizen. How do you allow this? Conservatives will never take you seriously if you don't start being fair.,OFF,TIN,OTH,clearly racist anti senior citizen allow conservatives never take seriously start fair
993,63874,@USER @USER I mean he is worth it,NOT,,,mean worth
994,40265,*a shooting happens in a country with gun control laws for the first time in literally decades*  Y'all: BUT THE GUN LAWS SHOULD'VE PREVENTED THIS UNGA BUNGA THIS IS WHY GUN CONTROL SUCKS BET YOU DUMMIES WISH YOU HAD GUNS  *meanwhile another school shooting happens in America*,NOT,,,shooting happens country gun control laws first time literally decades gun laws prevented unga bunga gun control sucks bet dummies wish guns meanwhile another school shooting happens america
995,67744,@USER @USER He is.,NOT,,,
996,77193,@USER @USER Follow along..  Conservatives paid Fusion  Fusion paid Orbis (Steele's company).  It's not that hard.. seriously,NOT,,,follow along conservatives paid fusion fusion paid orbis steele company hard seriously
997,54759,@USER Antifa isn’t after her.,NOT,,,antifa
998,90331,@USER @USER It matters less than swaying the political slant of the SCOTUS by both parties. That’s a fact. This is only important to lib’s and conservatives as to the Court makeup.,NOT,,,matters less swaying political slant scotus parties fact important lib conservatives court makeup
999,35544,"@USER It's up there with the bumper sticker liberals"", just more expensive.""",NOT,,,bumper sticker liberals expensive
1000,19435,@USER Damn he fell victim to a little thing called TOS much like the ones on his own site URL URL,OFF,UNT,,damn fell victim little thing called tos much like ones site url url
1001,84894,@USER @USER If Kavanaugh is confirmed there will be two sexual deviants sitting on the Supreme Court. Both Conservatives and nominated by Republicans. Democrats put women on the SCOTUS and Republicans put perverted men there. FOR THEIR LIFETIME! #StopKavanaugh #StopTrump #SaveSCOTUS,OFF,TIN,GRP,kavanaugh confirmed two sexual deviants sitting supreme court conservatives nominated republicans democrats put women scotus republicans put perverted men lifetime
1002,45521,@USER @USER Liberals have no shame. To them the outcome justifies the mean,OFF,TIN,GRP,liberals shame outcome justifies mean
1003,81754,@USER @USER @USER Tippi Hedren was in Julie and Jack (which rifftrax also did). The scene from Birdemic that she is credited for was from that movie playing on the tv in the hotel.,NOT,,,tippi hedren julie jack rifftrax also scene birdemic credited movie playing hotel
1004,87501,@USER Coming from a guy who worries more about straws than cleaning up failed 'shitty' policies..now he knows best..lol,OFF,TIN,IND,coming guy worries straws cleaning failed shitty policies knows best lol
1005,78424,@USER I hope they were Reporting on Gun Control,NOT,,,hope reporting gun control
1006,71984,@USER @USER Popular side doesn’t equal winning side. Facts are that private schools do a much better job educating students than public schools. Public school teachers get unfair perks that they don’t deserve. It’s unfair to private school teachers.,OFF,TIN,GRP,popular side equal winning side facts private schools much better job educating students public schools public school teachers get unfair perks deserve unfair private school teachers
1007,43321,@USER Jeff Flake looks like he is flaking out on the confirmation.,NOT,,,jeff flake looks like flaking confirmation
1008,99643,@USER How fucking sad 😣,OFF,TIN,OTH,fucking sad
1009,12272,@USER Bull...she is probably in debt and Soros is paying her...you're never afraid if this happened...give us a break..,NOT,,,bull probably debt soros paying never afraid happened give break
1010,63350,@USER I suppose you think the way liberals attacked Sarah Palin was courageous also. You’re just another hypocrite.,OFF,TIN,IND,suppose think way liberals attacked sarah palin courageous also another hypocrite
1011,39443,@USER @USER Ilegal Invader Kills 13-Year-Old Canadian Girl,NOT,,,ilegal invader kills year old canadian girl
1012,68565,@USER 20 million dollars from cbs to #metoo can buy a lot of lies from a lot of professional witnesses with a lot of axes to grind.  Antifa is fully financed by BLM millions they collected from Obama’s Justice dept and look at the antiamerican havoc they create. #metoo is warming up.,NOT,,,million dollars cbs buy lot lies lot professional witnesses lot axes grind antifa fully financed blm millions collected obama justice dept look antiamerican havoc create warming
1013,99745,@USER @USER WTF was that other than a waste of a minute and change of my life,NOT,,,wtf waste minute change life
1014,56164,@USER CATFIGHT!!!   MEOW,NOT,,,catfight meow
1015,74160,@USER @USER I much prefer the latter option.,NOT,,,much prefer latter option
1016,62679,@USER you are not alone/ I am here with you🎶 😅,NOT,,,alone
1017,93734,@USER Bill I do not consider Democrats as Americans. Our Constitution does not mean anything to them. Most of them are uncultured uneducated and violent like Antifa. Some have already declared Judge Kavanaugh Guilty of Rape.,NOT,,,bill consider democrats americans constitution mean anything uncultured uneducated violent like antifa already declared judge kavanaugh guilty rape
1018,23956,@USER Eject him from the Senate. What rule will he break next time. If you can’t follow rules you shouldn’t be a Senator.,NOT,,,eject senate rule break next time follow rules senator
1019,63696,@USER @USER I want to adopt this dog.  He/She is so precious😘,NOT,,,want adopt dog precious
